Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
150;7666667;6;5;2;150;2;3;2;1150000000
251;5557769;6;4;3;251;3;3;3;1395000000
143;5783972;6;4;2;143;4;4;1;830000000
120;7083333;6;2;3;120;3;3;2;850000000
195;4410256;6;5;2;195;5;4;1;860000000
267;4681648;6;2;3;267;4;5;5;1250000000
106;7500000;6;2;3;106;2;3;2;795000000
163;8159509;6;4;2;163;3;3;2;1330000000
139;5035971;6;4;2;139;3;3;2;700000000
87;4252874;6;5;3;87;3;3;1;370000000
289;5363322;6;4;3;289;4;5;3;1550000000
155;8387097;6;2;3;155;3;5;3;1300000000
96;7802083;6;2;2;96;1;2;2;749000000
235;7017021;6;2;3;235;3;3;3;1649000000
369;6314363;6;1;3;369;4;5;3;2330000000
223;5829596;6;4;3;223;3;4;6;1300000000
280;6607143;6;4;2;280;3;3;4;1850000000
250;10200000;6;3;3;250;3;4;3;2550000000
97;6185567;6;4;3;97;2;2;2;600000000
90;9444444;6;1;3;90;2;3;2;850000000
111;6756757;6;4;3;111;3;3;2;750000000
642;2803738;6;4;3;642;5;5;4;1800000000
113;5221239;6;4;2;113;3;2;2;590000000
207;6038647;6;3;3;207;3;4;4;1250000000
103;8252427;6;4;2;103;2;2;2;850000000
77;8181818;6;2;3;77;1;2;2;630000000
270;7962963;6;5;3;270;3;4;2;2150000000
101;6831683;6;2;3;101;3;3;3;690000000
164;4085366;6;5;3;164;3;3;1;670000000
77;8181818;6;2;3;77;1;2;2;630000000
597;5360134;6;4;2;597;4;5;3;3200000000
93;7311828;6;5;2;93;2;2;2;680000000
200;7250000;6;4;3;200;3;4;2;1450000000
149;5033557;6;2;2;149;3;3;2;750000000
105;7428571;6;2;3;105;3;3;2;780000000
170;5588235;6;4;3;170;3;3;3;950000000
158;6075949;6;2;3;158;3;3;2;960000000
54;6851852;6;5;2;54;2;2;1;370000000
174;7586207;6;3;3;174;3;4;2;1320000000
148;6554054;6;2;3;148;4;4;2;970000000
406;6899015;6;3;3;406;4;7;4;2801000000
148;5918919;6;3;3;148;3;5;2;876000000
113;5751327;6;4;3;113;3;3;1;649900000
200;5500000;6;4;3;200;3;5;2;1100000000
43;7453488;6;2;3;43;1;2;1;320500000
191;8272251;6;3;2;191;3;5;3;1580000000
72;5416667;6;4;3;72;1;2;1;390000000
107;4859813;6;3;2;107;4;3;1;520000000
110;5181818;6;5;2;110;3;3;1;570000000
130;4592308;6;4;2;130;4;5;2;597000000
251;5557769;6;4;3;251;3;3;3;1395000000
671;5216095;6;4;3;671;6;3;5;3500000000
122;7786885;6;4;3;122;2;4;1;950000000
223;7757848;6;2;3;223;4;5;3;1730000000
201;4179104;6;4;2;201;3;3;2;840000000
120;7500000;6;3;3;120;3;3;2;900000000
660;8333333;6;3;2;660;4;4;6;5500000000
150;7666667;6;5;2;150;2;3;2;1150000000
251;5557769;6;4;3;251;3;3;3;1395000000
143;5783972;6;4;2;143;4;4;1;830000000
120;7083333;6;2;3;120;3;3;2;850000000
195;4410256;6;5;2;195;5;4;1;860000000
267;4681648;6;2;3;267;4;5;5;1250000000
106;7500000;6;2;3;106;2;3;2;795000000
163;8159509;6;4;2;163;3;3;2;1330000000
139;5035971;6;4;2;139;3;3;2;700000000
87;4252874;6;5;3;87;3;3;1;370000000
289;5363322;6;4;3;289;4;5;3;1550000000
155;8387097;6;2;3;155;3;5;3;1300000000
96;7802083;6;2;2;96;1;2;2;749000000
235;7017021;6;2;3;235;3;3;3;1649000000
369;6314363;6;1;3;369;4;5;3;2330000000
223;5829596;6;4;3;223;3;4;6;1300000000
138;6014493;6;4;2;138;3;3;2;830000000
310;6451613;6;4;3;310;4;5;2;2000000000
47;6914894;6;4;3;47;1;1;1;325000000
192;7812500;6;3;2;192;3;4;3;1500000000
207;4154589;6;4;2;207;3;3;2;860000000
220;3181818;6;2;3;220;3;4;2;700000000
154;8344156;6;2;3;154;3;5;3;1285000000
191;7486911;6;3;3;191;3;5;3;1430000000
173;7604046;6;2;2;173;3;4;3;1315500000
197;6487254;6;4;3;197;2;3;2;1280000000
50;7586345;6;2;3;50;1;2;2;380000000
174;4540230;6;5;3;174;4;3;2;790000000
169;8284024;6;5;2;169;3;3;3;1400000000
185;5674054;6;4;3;185;4;4;3;1049700000
129;4553523;6;4;2;129;3;2;2;590000000
690;7246377;6;3;3;690;6;8;4;5000000000
203;4679803;6;4;3;203;3;3;3;950000000
76;7565789;6;3;3;76;1;2;2;575000000
180;4722222;6;3;3;180;4;3;2;850000000
223;6950673;6;4;3;223;3;4;3;1550000000
61;8360656;6;2;2;61;1;2;2;510000000
500;8000000;6;4;3;500;4;5;3;4000000000
143;6223776;6;3;2;143;3;4;2;890000000
132;5378788;6;4;3;132;3;3;2;710000000
295;4067797;6;4;2;295;4;5;2;1200000000
165;9636364;6;2;3;165;3;4;2;1590000000
225;4888889;6;2;3;225;4;5;3;1100000000
204;8480392;6;3;3;204;4;5;3;1730000000
160;6437500;6;2;3;160;3;3;2;1030000000
174;8045977;6;4;2;174;3;4;2;1400000000
380;4473684;6;4;3;380;6;6;6;1700000000
380;4210526;6;4;3;380;4;6;6;1600000000
139;7050360;6;2;3;139;3;4;2;980000000
185;6270270;6;5;2;185;3;3;2;1160000000
147;5911565;6;2;3;147;3;4;2;869000000
191;4450262;6;2;3;191;2;4;2;850000000
150;4426667;6;4;3;150;3;3;1;664000000
126;4642857;6;4;3;126;3;4;2;585000000
58;5137931;6;5;3;58;2;2;0;298000000
94;4787234;6;5;2;94;2;2;0;450000000
262;11374046;6;2;3;262;3;4;3;2980000000
155;4935484;6;3;3;155;3;3;2;765000000
396;10353535;6;4;3;396;4;5;3;4100000000
151;5264901;6;4;3;151;3;5;2;795000000
117;5299145;6;2;3;117;3;3;2;620000000
40;8750000;6;4;3;40;1;1;0;350000000
66;7878788;6;2;3;66;2;2;1;520000000
308;5357143;6;4;2;308;3;5;6;1650000000
300;8833333;6;4;3;300;4;5;2;2650000000
169;6508876;6;4;3;169;3;4;2;1100000000
65;4769231;6;3;3;65;1;1;1;310000000
129;6019447;6;5;2;129;4;3;1;780000000
