Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
58;57;4051724;230000;3;4;2;58;3;2;1;235000000
50;46;3200000;100000;3;3;3;50;3;2;0;160000000
52;50;2307692;65000;3;3;3;52;3;2;0;120000000
9094;9094;37453;20;3;3;3;9094;2;2;1;340600000
325;325;3046154;100000;5;2;3;325;5;6;3;990000000
60;58;1833250;25000;2;3;3;60;4;1;0;109995000
43;48;3348605;70000;2;1;3;43;3;1;0;143990000
160;150;2487500;75000;3;4;3;160;3;3;2;398000000
350;320;6571429;100000;4;4;3;350;6;6;2;2300000000
164;147;7926829;930000;1;4;2;164;3;3;2;1300000000
382;369;11393427;3000000;6;4;3;382;5;6;5;4361290000
83;80;5421687;227000;4;3;3;83;3;2;2;450000000
80;80;3612500;170000;3;2;3;80;3;2;1;289000000
270;269;3333333;257000;5;5;2;270;7;4;2;900000000
147;88;6326531;944701;5;2;3;147;1;2;2;930000000
155;120;4941935;475000;5;3;3;155;4;4;2;766000000
220;175;2681818;240000;4;4;2;220;5;4;2;590000000
50;46;3200000;100000;3;3;3;50;3;2;0;160000000
52;50;2307692;65000;3;3;3;52;3;2;0;120000000
9094;9094;35914;20;3;3;3;9094;2;2;1;326600000
325;325;3046154;100000;5;2;3;325;5;6;3;990000000
60;58;1833250;25000;2;3;3;60;4;1;0;109995000
62;56;4032258;176000;4;2;2;62;3;2;1;250000000
205;185;3414634;1040000;6;4;3;205;4;4;2;700000000
40;40;4075000;172000;3;5;2;40;1;1;1;163000000
55;55;2454545;60000;2;4;1;55;3;2;0;135000000
47;47;2659574;60000;2;3;3;47;3;1;0;125000000
64;64;2656250;50000;3;3;3;64;3;2;0;170000000
101;101;6881188;725000;6;4;3;101;3;3;2;695000000
89;89;4550562;260000;4;3;3;89;3;2;1;405000000
86;78;5697674;370000;4;3;3;86;3;2;1;490000000
17;17;9705882;500000;3;1;3;17;1;1;0;165000000
90;81;6258307;553000;6;2;3;90;2;3;2;565000000
112;112;5089286;370000;4;2;3;112;3;2;2;570000000
218;189;7660550;954000;5;2;3;218;3;4;4;1670000000
90;68;4333333;170000;4;5;3;90;3;2;2;390000000
72;72;4861111;240000;4;2;3;72;3;2;1;350000000
249;249;5020080;560000;4;3;3;249;4;5;3;1250000000
33;31;7727273;230000;3;2;3;33;;1;1;255000000
60;60;4333333;197000;4;4;3;60;2;2;2;260000000
58;58;4620690;100000;4;5;3;58;2;1;0;268000000
105;105;5523810;518000;5;4;3;105;3;2;1;580000000
130;130;5615385;625000;6;4;3;130;3;4;2;730000000
108;108;4166667;432000;5;5;3;108;3;2;1;450000000
113;113;7522124;1000000;6;2;3;113;3;3;2;850000000
140;140;7000000;766000;6;3;3;140;2;2;2;980000000
50;50;3100000;96500;3;2;3;50;3;1;0;155000000
168;155;7440476;750000;6;2;3;168;4;4;2;1250000000
79;79;5316456;160000;4;3;2;79;3;2;1;420000000
54;54;3055556;109000;3;2;3;54;2;2;0;165000000
111;111;5855856;630000;5;2;3;111;2;3;2;650000000
108;108;4981481;409000;6;5;3;108;3;3;1;538000000
167;167;6467066;650000;5;2;3;167;3;3;2;1080000000
103;93;4563107;311000;4;2;3;103;3;3;2;470000000
92;92;4565217;150000;3;3;3;92;4;2;1;420000000
103;100;7087379;680000;5;2;3;103;3;3;2;730000000
180;175;7500000;550000;6;3;3;180;4;5;2;1350000000
215;215;5581395;1600000;5;4;2;215;3;3;2;1200000000
