Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
78;6923077;5;2;3;78;3;2;2;540000000
127;4330709;6;4;2;127;3;2;4;550000000
250;9200000;6;3;3;250;3;5;4;2300000000
60;6333333;5;4;3;60;3;2;1;380000000
108;5185185;6;5;3;108;2;2;2;560000000
450;4222222;6;5;2;450;4;5;5;1900000000
465;13333333;6;5;3;465;12;11;10;6200000000
21;8571429;5;4;2;21;1;1;0;180000000
455;4725275;6;3;3;455;3;4;8;2150000000
117;6410256;5;3;3;117;2;3;2;750000000
58;5077586;5;4;3;58;2;2;1;294500000
89;4393258;5;4;3;89;3;2;1;391000000
210;4714286;5;4;2;210;5;4;2;990000000
55;5454545;5;4;3;55;2;2;1;300000000
43;6511628;5;2;3;43;1;1;1;280000000
73;7671233;6;3;3;73;2;2;2;560000000
130;7307692;6;3;2;130;2;3;2;950000000
75;7600000;6;2;3;75;2;2;1;570000000
315;5714286;6;3;3;315;4;6;6;1800000000
128;5781250;5;4;3;128;3;3;2;740000000
118;5508475;6;4;3;118;3;4;2;650000000
116;7068966;6;4;2;116;1;2;2;820000000
274;8576642;6;4;2;274;3;3;4;2350000000
238;11000000;6;3;3;238;3;4;3;2618000000
143;4335664;6;5;2;143;3;3;2;620000000
265;10000000;6;3;3;265;3;4;4;2650000000
97;4639175;5;4;2;97;3;3;1;450000000
117;5042735;5;2;3;117;4;2;2;590000000
196;3979592;5;4;2;196;4;5;2;780000000
290;7413793;6;4;2;290;3;4;2;2150000000
110;4445455;6;4;3;110;3;3;2;489000000
111;5855856;5;2;3;111;2;3;2;650000000
400;11250000;5;3;2;400;;4;1;4500000000
406;6899015;6;3;3;406;4;7;4;2801000000
185;4535135;6;4;3;185;3;4;2;839000000
148;5912162;6;3;3;148;3;5;2;875000000
240;5250000;6;3;3;240;3;5;3;1260000000
113;5752212;6;4;3;113;3;3;1;650000000
103;5524272;5;2;3;103;2;2;2;569000000
176;6536932;5;2;3;176;3;4;2;1150500000
200;5495000;6;4;3;200;3;5;2;1099000000
144;12500000;6;2;2;144;1;2;0;1800000000
57;6807018;5;2;3;57;1;2;1;388000000
100;4700000;6;4;3;100;3;3;1;470000000
83;6385542;6;2;3;83;2;3;1;530000000
1914;6269592;6;2;3;1914;8;12;6;12000000000
98;5612245;5;2;3;98;3;2;3;550000000
197;12690355;6;2;2;197;3;5;3;2500000000
226;5752212;6;4;2;226;4;3;3;1300000000
243;5144033;5;5;2;243;5;5;1;1250000000
200;4300000;5;3;3;200;3;3;2;860000000
81;5308642;5;5;2;81;3;2;3;430000000
134;4850746;6;4;2;134;4;3;2;650000000
