Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
108;1620370;2;1;3;108;2;1;1;175000000
83;1566265;2;5;3;83;5;4;0;130000000
273;1354945;2;1;3;273;8;4;0;369900000
72;1333333;1;4;2;72;2;1;1;96000000
69;2637681;2;3;3;69;3;3;0;182000000
53;3396226;2;1;3;53;3;2;1;180000000
40;2250000;2;3;2;40;2;1;0;90000000
160;1112500;2;5;1;160;4;2;0;178000000
45;2666667;2;2;3;45;3;1;0;120000000
56;2857143;2;2;3;56;3;1;0;160000000
68;2573529;2;4;3;68;4;1;0;175000000
31;2967742;2;2;3;31;2;1;1;92000000
81;1358025;2;2;3;81;4;2;0;110000000
288;1215278;2;2;2;288;8;4;6;350000000
216;1087963;2;3;2;216;7;4;1;235000000
135;1629593;2;3;3;135;4;2;0;219995000
224;1205335;2;3;2;224;7;3;1;269995000
54;3148148;2;3;3;54;4;2;0;170000000
60;1833250;2;3;3;60;4;1;0;109995000
220;1227227;2;3;2;220;8;3;1;269990000
438;1358436;2;4;3;438;11;6;3;594995000
76;1341974;2;2;3;76;2;1;1;101990000
220;1181795;2;3;2;220;6;4;1;259995000
148;1993176;2;3;3;148;4;2;1;294990000
72;2500000;2;3;3;72;4;3;0;180000000
290;965483;2;2;3;290;6;3;1;279990000
43;3348605;2;1;3;43;3;1;0;143990000
220;1999977;2;2;3;220;7;3;1;439995000
184;1793424;2;2;2;184;3;3;1;329990000
216;1226806;2;3;3;216;4;2;0;264990000
164;7926829;1;4;2;164;3;3;2;1300000000
60;1833250;2;3;3;60;4;1;0;109995000
220;1227227;2;3;2;220;8;3;1;269990000
438;1358436;2;4;3;438;11;6;3;594995000
76;1341974;2;2;3;76;2;1;1;101990000
60;2416667;2;2;3;60;4;1;0;145000000
55;2454545;2;4;1;55;3;2;0;135000000
47;2659574;2;3;3;47;3;1;0;125000000
46;2500000;2;3;2;46;3;1;0;115000000
54;2500000;2;3;2;54;4;2;0;135000000
61;2377049;2;3;2;61;4;2;0;145000000
180;1666667;2;3;2;180;4;3;1;300000000
136;1911765;2;1;3;136;6;3;1;260000000
61;2377049;2;3;2;61;4;2;0;145000000
64;2578125;2;3;3;64;3;2;1;165000000
216;740741;2;5;2;216;7;3;0;160000000
40;4875000;2;1;3;40;2;1;1;195000000
48;1979167;2;3;3;48;2;2;0;95000000
55;2818182;2;3;2;55;3;2;0;155000000
55;2872727;2;2;2;55;3;1;0;158000000
52;2307692;2;3;2;52;3;1;0;120000000
66;3015152;2;3;3;66;3;2;1;199000000
48;1979167;2;3;3;48;2;2;0;95000000
52;3173077;2;2;3;52;2;1;0;165000000
78;1782051;2;1;3;78;3;2;0;139000000
76;2763158;2;3;2;76;4;1;0;210000000
52;2884613;2;2;3;52;3;2;0;149999900
50;2600000;2;5;2;50;3;1;0;130000000
1;160000000;2;3;2;1;4;2;0;160000000
41;2926829;2;3;2;41;2;1;0;120000000
51;2745098;2;4;2;51;2;1;0;140000000
216;1620370;2;4;3;216;8;4;1;350000000
45;2666667;2;2;2;45;3;1;0;120000000
47;2936170;2;2;3;47;3;1;0;138000000
45;2311111;2;3;3;45;2;1;0;104000000
360;1388889;2;4;2;360;7;5;2;500000000
243;2798354;2;4;1;243;5;3;0;680000000
54;2462963;2;3;3;54;3;1;0;133000000
62;2983871;2;4;2;62;3;2;1;185000000
38;3763158;2;3;2;38;3;1;1;143000000
72;10416667;2;4;3;72;5;4;1;750000000
60;3000000;2;4;2;60;3;2;0;180000000
74;2364865;2;3;3;74;5;2;0;175000000
55;2363636;2;3;3;55;3;1;0;130000000
55;2363636;2;2;3;55;3;2;0;130000000
