Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
102;3725490;3;4;3;102;3;2;1;380000000
62;3870968;3;4;3;62;3;2;1;240000000
250;1436000;3;5;2;250;8;4;0;359000000
63;2539683;3;4;3;63;3;1;0;160000000
57;3070175;3;3;3;57;3;2;0;175000000
68;2941176;3;5;3;68;3;1;1;200000000
94;3936170;3;2;3;94;3;3;1;370000000
106;3490566;3;2;3;106;3;3;1;370000000
360;2722222;3;4;2;360;3;3;0;980000000
174;3735632;3;5;3;174;5;2;2;650000000
50;3200000;3;4;3;50;3;2;0;160000000
51;3901961;3;1;3;51;3;2;0;199000000
87;4252874;3;5;2;87;3;2;0;370000000
253;3162055;3;4;3;253;6;5;0;800000000
94;3936170;3;2;3;94;3;3;1;370000000
106;3490566;3;2;3;106;3;3;1;370000000
360;2722222;3;4;2;360;3;3;0;980000000
174;3735632;3;5;3;174;5;2;2;650000000
385;1194805;3;5;1;385;11;5;0;460000000
89;3808989;3;2;3;89;3;2;1;339000000
70;3500000;3;3;3;70;3;2;0;245000000
40;4125000;3;5;3;40;2;1;1;165000000
202;3366337;3;4;2;202;7;5;2;680000000
70;4500000;3;1;3;70;2;2;1;315000000
108;5324074;3;4;2;108;11;5;0;575000000
289;1384083;3;5;3;289;9;4;1;400000000
72;3125000;3;3;2;72;3;2;1;225000000
780;4807692;3;2;3;780;;10;0;3750000000
57;3508772;3;2;3;57;3;2;1;200000000
57;2543860;3;2;3;57;3;2;0;145000000
162;5246914;3;4;3;162;4;3;2;850000000
189;2301587;3;5;2;189;13;4;1;435000000
73;3972603;3;2;3;73;3;2;1;290000000
113;1681416;3;2;3;113;3;2;0;190000000
53;3301887;3;2;3;53;3;2;0;175000000
67;4701493;3;2;2;67;3;2;2;315000000
109;2293578;3;4;3;109;4;2;0;250000000
40;3800000;3;1;3;40;3;1;0;152000000
250;2380000;3;2;3;250;8;4;1;595000000
174;2298851;3;5;1;174;3;1;0;400000000
39;4615385;3;2;3;39;;2;0;180000000
64;3671875;3;1;3;64;3;2;1;235000000
399;1328070;3;5;2;399;8;5;1;529900000
92;3576087;3;5;3;92;3;3;1;329000000
97;4103093;3;1;3;97;3;2;1;398000000
64;3093750;3;2;3;64;3;2;1;198000000
69;3913043;3;3;3;69;3;2;1;270000000
60;4166667;3;4;3;60;3;2;1;250000000
126;4523810;3;5;2;126;4;2;0;570000000
1000;1900000;3;4;2;1000;25;13;3;1900000000
288;1250000;3;3;3;288;8;4;1;360000000
1000;1900000;3;4;2;1000;25;13;3;1900000000
57;4210351;3;3;3;57;3;2;2;239990000
75;3866533;3;2;2;75;3;2;1;289990000
150;6666667;3;5;1;150;9;2;0;1000000000
80;2312375;3;4;2;80;4;2;0;184990000
78;2820513;3;3;2;78;3;3;0;220000000
230;2391261;3;4;2;230;5;3;6;549990000
50;3520000;3;3;3;50;3;1;0;176000000
66;2560606;3;4;3;66;3;2;0;169000000
58;4051724;3;4;2;58;3;2;1;235000000
50;3200000;3;3;3;50;3;2;0;160000000
52;2307692;3;3;3;52;3;2;0;120000000
170;1347059;3;3;3;170;3;2;1;229000000
9094;37453;3;3;3;9094;2;2;1;340600000
60;4333333;3;3;3;60;3;2;1;260000000
65;2538462;3;3;2;65;3;2;1;165000000
160;2487500;3;4;3;160;3;3;2;398000000
80;3612500;3;2;3;80;3;2;1;289000000
50;3200000;3;3;3;50;3;2;0;160000000
52;2307692;3;3;3;52;3;2;0;120000000
170;1347059;3;3;3;170;3;2;1;229000000
9094;35914;3;3;3;9094;2;2;1;326600000
60;4333333;3;3;3;60;3;2;1;260000000
65;2538462;3;3;2;65;3;2;1;165000000
292;2123288;3;4;3;292;3;5;1;620000000
40;4075000;3;5;2;40;1;1;1;163000000
64;2656250;3;3;3;64;3;2;0;170000000
17;9705882;3;1;3;17;1;1;0;165000000
112;3553571;3;4;3;112;9;5;1;398000000
33;7727273;3;2;3;33;;1;1;255000000
45;3755556;3;2;3;45;3;1;1;169000000
50;3100000;3;2;3;50;3;1;0;155000000
52;3055769;3;4;3;52;3;2;0;158900000
54;3055556;3;2;3;54;2;2;0;165000000
92;4565217;3;3;3;92;4;2;1;420000000
220;3590909;3;4;2;220;1;3;0;790000000
52;3055769;3;4;3;52;3;2;0;158900000
50;3200000;3;4;2;50;2;1;0;160000000
84;3809524;3;2;2;84;3;3;1;320000000
87;2873563;3;4;3;87;4;3;0;250000000
86;5232558;3;4;2;86;3;3;1;450000000
65;3584615;3;4;3;65;3;2;1;233000000
98;2500000;3;4;3;98;4;3;1;245000000
65;4000000;3;4;3;65;3;2;1;260000000
230;1521739;3;2;3;230;5;2;1;350000000
61;3278689;3;4;2;61;3;2;1;200000000
80;4987500;3;1;3;80;3;2;1;399000000
88;3295455;3;4;3;88;3;2;1;290000000
350;2257143;3;5;2;350;14;15;0;790000000
76;3486842;3;4;3;76;3;2;1;265000000
320;2468750;3;4;3;320;7;5;2;790000000
320;2468750;3;3;3;320;7;5;2;790000000
320;2468750;3;3;3;320;7;5;3;790000000
51;3218884;3;4;2;51;3;1;0;165000000
104;2740385;3;4;2;104;4;2;0;285000000
71;3943662;3;4;3;71;3;2;1;280000000
41;3902439;3;3;2;41;2;1;0;160000000
59;4745763;3;2;3;59;3;2;1;280000000
56;3750000;3;3;2;56;3;2;1;210000000
59;2457627;3;4;3;59;2;1;0;145000000
76;3946053;3;2;3;76;3;2;1;299900000
180;2111111;3;3;3;180;6;4;1;380000000
275;2181818;3;4;2;275;6;4;2;600000000
49;4081633;3;5;3;49;2;1;1;200000000
105;6190476;3;3;3;105;5;4;1;650000000
245;1387755;3;3;2;245;6;3;1;340000000
51;3921569;3;5;3;51;3;1;0;200000000
55;4000000;3;4;2;55;2;2;1;220000000
72;2361111;3;3;1;72;3;2;0;170000000
262;2022901;3;5;3;262;11;7;2;530000000
60;3000000;3;2;3;60;3;2;0;180000000
48;3562500;3;3;2;48;2;1;0;171000000
53;3433962;3;4;3;53;3;1;0;182000000
170;2911765;3;4;3;170;3;3;1;495000000
167;2634731;3;4;2;167;6;3;1;440000000
68;3455882;3;3;2;68;3;2;1;235000000
49;3469388;3;4;3;49;2;1;1;170000000
43;7441860;3;2;3;43;1;2;1;320000000
51;3333333;3;4;3;51;2;1;1;170000000
79;7278481;3;3;3;79;8;5;1;575000000
48;3020833;3;4;2;48;3;1;0;145000000
79;5063291;3;5;3;79;2;2;1;400000000
165;4242424;3;2;3;165;5;2;2;700000000
68;2720588;3;4;3;68;3;1;0;185000000
231;1515152;3;3;2;231;3;1;0;350000000
42;4404762;3;2;3;42;2;1;0;185000000
77;2987013;3;3;3;77;4;2;0;230000000
38;4210526;3;1;3;38;2;1;0;160000000
70;3571429;3;3;2;70;3;2;1;250000000
68;3581871;3;1;3;68;3;2;1;245000000
62;4472843;3;2;3;62;3;2;1;280000000
35;7285714;3;2;2;35;1;1;1;255000000
340;2500000;3;3;3;340;5;3;3;850000000
62;2983871;3;3;3;62;3;1;1;185000000
43;7441860;3;2;3;43;1;2;1;320000000
48;2895833;3;2;2;48;2;2;1;139000000
60;3750000;3;3;2;60;3;2;0;225000000
74;3648649;3;3;3;74;2;2;2;270000000
109;2293578;3;4;3;109;4;2;0;250000000
53;2801887;3;4;2;53;3;2;0;148500000
54;3055556;3;1;3;54;3;1;0;165000000
100;3000000;3;4;2;100;5;3;0;300000000
64;4343750;3;4;2;64;3;2;1;278000000
62;2258065;3;2;2;62;3;2;0;140000000
76;2236842;3;3;2;76;4;2;0;170000000
56;3035714;3;4;2;56;2;3;0;170000000
48;4895833;3;2;3;48;;;0;235000000
50;3200000;3;2;3;50;3;2;0;160000000
264;1780303;3;4;3;264;6;6;2;470000000
46;3804348;3;2;2;46;2;1;0;175000000
72;5416667;3;3;3;72;3;3;1;390000000
266;1804511;3;5;1;266;7;2;1;480000000
45;3555556;3;3;2;45;2;1;1;160000000
72;3819444;3;3;3;72;3;2;1;275000000
52;3769231;3;3;2;52;3;1;1;196000000
66;3484848;3;2;3;66;3;2;1;230000000
82;3619417;3;2;3;82;4;2;2;299000000
74;4054054;3;3;3;74;3;2;1;300000000
171;3391813;3;4;3;171;4;3;2;580000000
72;3193056;3;2;3;72;3;2;1;229900000
171;2456140;3;5;2;171;6;3;0;420000000
56;3926786;3;3;3;56;2;2;0;219900000
74;3783784;3;3;2;74;3;2;1;280000000
126;3174603;3;5;3;126;3;2;0;400000000
37;2837838;3;5;2;37;1;1;0;105000000
54;6666667;3;4;2;54;2;2;1;360000000
42;4404762;3;2;3;42;2;1;0;185000000
59;1855932;3;3;3;59;3;1;0;109500000
52;3500000;3;4;3;52;3;2;0;182000000
52;2788462;3;4;2;52;2;2;0;145000000
84;3809524;3;3;2;84;3;2;1;320000000
68;3382353;3;4;2;68;4;2;0;230000000
60;5333333;3;3;3;60;3;1;1;320000000
50;3200000;3;2;3;50;3;2;0;160000000
264;1780303;3;4;3;264;6;6;2;470000000
42;4285714;3;3;3;42;3;1;0;180000000
68;4338235;3;4;2;68;3;2;1;295000000
90;3666667;3;3;3;90;3;2;1;330000000
54;6666667;3;4;2;54;2;2;1;360000000
270;1407407;3;4;2;270;9;5;1;380000000
56;3928571;3;3;2;56;3;2;1;220000000
270;1407407;3;4;2;270;9;5;1;380000000
169;3431953;3;5;2;169;6;2;3;580000000
270;1407407;3;4;2;270;9;5;1;380000000
260;2884615;3;5;3;260;8;4;1;750000000
58;2844828;3;2;3;58;3;2;0;165000000
100;3500000;3;3;3;100;3;2;0;350000000
54;4259259;3;1;3;54;3;2;1;230000000
60;2916667;3;4;2;60;3;2;0;175000000
53;3773585;3;3;3;53;2;2;0;200000000
80;8125000;3;2;3;80;2;2;1;650000000
52;2884615;3;2;3;52;3;2;0;150000000
73;2931507;3;4;1;73;3;1;0;214000000
170;2647059;3;1;3;170;5;5;2;450000000
74;4932432;3;2;3;74;3;2;1;365000000
340;2500000;3;3;3;340;5;3;3;850000000
117;4128205;3;5;3;117;3;3;0;483000000
52;4230769;3;4;3;52;3;1;0;220000000
60;3666667;3;2;3;60;3;2;1;220000000
86;3372093;3;1;3;86;3;2;1;290000000
148;2626263;3;2;3;148;5;3;1;390000000
49;4489796;3;2;3;49;1;1;1;220000000
50;3200000;3;2;3;50;3;2;0;160000000
264;1780303;3;4;3;264;6;6;2;470000000
316;1740506;3;4;2;316;8;4;1;550000000
243;2254468;3;5;3;243;4;4;1;550000000
230;3695652;3;4;3;230;4;3;1;850000000
70;4125765;3;2;3;70;3;2;1;290000000
75;5733333;3;2;3;75;2;2;2;430000000
237;2194093;3;5;2;237;7;3;1;520000000
61;2786885;3;4;2;61;3;2;1;170000000
120;1916667;3;2;3;120;5;2;0;230000000
52;5192308;3;5;3;52;2;1;0;270000000
65;5076923;3;4;3;65;4;2;0;330000000
50;3200000;3;2;3;50;3;2;0;160000000
52;2788462;3;1;3;52;3;2;0;145000000
122;3688525;3;5;3;122;4;2;1;450000000
55;4000000;3;4;3;55;3;2;1;220000000
62;3709677;3;4;3;62;2;2;1;230000000
56;3392857;3;3;3;56;3;2;0;190000000
60;2466667;3;2;3;60;3;2;0;148000000
64;4281250;3;4;3;64;3;2;1;274000000
399;1340852;3;4;3;399;7;4;3;535000000
66;3712121;3;1;3;66;3;2;1;245000000
64;3203125;3;3;3;64;3;2;1;205000000
89;2977528;3;3;3;89;4;2;0;265000000
62;3870968;3;1;3;62;3;2;1;240000000
54;4074074;3;2;3;54;2;2;0;220000000
61;3245902;3;2;3;61;3;2;0;198000000
44;3181818;3;3;2;44;3;1;0;140000000
350;2571286;3;4;3;350;13;9;0;899950000
63;4444444;3;2;3;63;3;2;1;280000000
61;4573770;3;1;3;61;2;2;1;279000000
59;3305085;3;3;3;59;3;2;0;195000000
63;3849206;3;3;3;63;3;2;0;242500000
71;4288732;3;3;3;71;3;2;1;304500000
83;3059036;3;4;3;83;3;2;1;253900000
63;5079365;3;3;3;63;3;2;1;320000000
67;4626866;3;4;3;67;2;2;1;310000000
350;2428571;3;2;3;350;9;7;0;850000000
67;4626866;3;4;3;67;2;2;1;310000000
350;2428571;3;2;3;350;9;7;0;850000000
57;3508772;3;2;3;57;3;2;1;200000000
231;3116883;3;4;3;231;6;4;1;720000000
54;3888889;3;3;2;54;2;2;0;210000000
68;3823529;3;2;3;68;3;2;1;260000000
60;3000000;3;4;3;60;3;1;1;180000000
110;2436364;3;4;2;110;3;2;1;268000000
48;3562500;3;3;2;48;2;1;0;171000000
170;2911765;3;4;3;170;3;3;1;495000000
78;3525641;3;4;2;78;3;2;1;275000000
64;4453125;3;1;3;64;2;2;1;285000000
45;3777778;3;2;3;45;2;1;0;170000000
77;4389610;3;2;3;77;3;2;1;338000000
75;4600000;3;5;3;75;2;1;0;345000000
190;2736842;3;5;2;190;4;2;2;520000000
53;4339623;3;2;3;53;3;2;0;230000000
224;3906250;3;4;3;224;10;6;2;875000000
52;3048077;3;4;2;52;3;1;1;158500000
240;1789583;3;3;2;240;4;3;2;429500000
180;3055556;3;4;3;180;6;4;1;550000000
96;3281250;3;3;3;96;3;2;1;315000000
600;700000;3;4;2;600;11;5;2;420000000
231;1385281;3;4;3;231;8;4;1;320000000
53;5849057;3;2;3;53;3;2;1;310000000
64;3203125;3;3;3;64;3;2;1;205000000
55;3963636;3;4;2;55;3;2;1;218000000
67;3537313;3;2;3;67;3;2;1;237000000
70;2828571;3;4;3;70;3;2;1;198000000
73;2808219;3;4;3;73;4;2;0;205000000
48;4895833;3;2;3;48;;2;0;235000000
67;3134328;3;3;3;67;2;2;0;210000000
236;2000000;3;5;2;236;11;3;1;472000000
319;2664577;3;3;3;319;10;7;5;850000000
47;4468085;3;1;3;47;2;2;1;210000000
58;3422414;3;2;2;58;3;2;1;198500000
72;3193056;3;2;3;72;3;2;1;229900000
160;3750000;3;5;3;160;3;2;1;600000000
68;3382353;3;4;2;68;4;2;0;230000000
60;5333333;3;3;3;60;3;1;1;320000000
50;3200000;3;2;3;50;3;2;0;160000000
264;1780303;3;4;3;264;6;6;2;470000000
42;4285714;3;3;3;42;3;1;0;180000000
68;4338235;3;4;2;68;3;2;1;295000000
90;3666667;3;3;3;90;3;2;1;330000000
54;6666667;3;4;2;54;2;2;1;360000000
270;1407407;3;4;2;270;9;5;1;380000000
56;3928571;3;3;2;56;3;2;1;220000000
270;1407407;3;4;2;270;9;5;1;380000000
169;3431953;3;5;2;169;6;2;3;580000000
270;1407407;3;4;2;270;9;5;1;380000000
260;2884615;3;5;3;260;8;4;1;750000000
58;2844828;3;2;3;58;3;2;0;165000000
100;3500000;3;3;3;100;3;2;0;350000000
54;4259259;3;1;3;54;3;2;1;230000000
60;2916667;3;4;2;60;3;2;0;175000000
53;3773585;3;3;3;53;2;2;0;200000000
80;8125000;3;2;3;80;2;2;1;650000000
52;2884615;3;2;3;52;3;2;0;150000000
73;2931507;3;4;1;73;3;1;0;214000000
170;2647059;3;1;3;170;5;5;2;450000000
74;4932432;3;2;3;74;3;2;1;365000000
340;2500000;3;3;3;340;5;3;3;850000000
117;4128205;3;5;3;117;3;3;0;483000000
52;4230769;3;4;3;52;3;1;0;220000000
60;3666667;3;2;3;60;3;2;1;220000000
86;3372093;3;1;3;86;3;2;1;290000000
148;2626263;3;2;3;148;5;3;1;390000000
49;4489796;3;2;3;49;1;1;1;220000000
50;3200000;3;2;3;50;3;2;0;160000000
264;1780303;3;4;3;264;6;6;2;470000000
316;1740506;3;4;2;316;8;4;1;550000000
243;2254468;3;5;3;243;4;4;1;550000000
230;3695652;3;4;3;230;4;3;1;850000000
70;4125765;3;2;3;70;3;2;1;290000000
75;5733333;3;2;3;75;2;2;2;430000000
237;2194093;3;5;2;237;7;3;1;520000000
61;2786885;3;4;2;61;3;2;1;170000000
120;1916667;3;2;3;120;5;2;0;230000000
52;5192308;3;5;3;52;2;1;0;270000000
65;5076923;3;4;3;65;4;2;0;330000000
50;3200000;3;2;3;50;3;2;0;160000000
52;2788462;3;1;3;52;3;2;0;145000000
122;3688525;3;5;3;122;4;2;1;450000000
55;4000000;3;4;3;55;3;2;1;220000000
62;3709677;3;4;3;62;2;2;1;230000000
56;3392857;3;3;3;56;3;2;0;190000000
60;2466667;3;2;3;60;3;2;0;148000000
64;4281250;3;4;3;64;3;2;1;274000000
399;1340852;3;4;3;399;7;4;3;535000000
66;3712121;3;1;3;66;3;2;1;245000000
64;3203125;3;3;3;64;3;2;1;205000000
89;2977528;3;3;3;89;4;2;0;265000000
62;3870968;3;1;3;62;3;2;1;240000000
75;4000000;3;2;3;75;3;2;1;300000000
60;6333333;3;2;3;60;2;2;1;380000000
308;2857143;3;4;2;308;6;3;2;880000000
72;5416667;3;3;3;72;3;3;1;390000000
220;1636364;3;4;2;220;6;3;2;360000000
291;2199313;3;4;2;291;8;4;2;640000000
540;1425926;3;4;2;540;7;6;2;770000000
81;3950617;3;1;3;81;2;2;1;320000000
92;4293478;3;1;3;92;3;3;1;395000000
55;2545455;3;2;2;55;3;2;0;140000000
53;4679245;3;1;3;53;2;2;1;248000000
45;4400000;3;1;3;45;2;1;0;198000000
56;4017857;3;4;2;56;3;1;1;225000000
52;3076923;3;3;2;52;3;2;1;160000000
610;1180328;3;4;2;610;12;7;1;720000000
236;2881356;3;1;3;236;6;5;0;680000000
76;3815789;3;2;2;76;3;2;1;290000000
53;8018868;3;2;2;53;1;2;1;425000000
80;3500000;3;4;2;80;3;2;1;280000000
408;2327918;3;3;2;408;16;9;0;950000000
42;3030952;3;4;3;42;3;1;0;127300000
45;3111111;3;4;3;45;2;1;0;140000000
43;4186047;3;3;3;43;3;2;0;180000000
81;3879310;3;2;3;81;3;2;1;315000000
94;3707638;3;2;3;94;3;3;1;349000000
49;4014286;3;2;3;49;2;2;1;196700000
69;5072464;3;4;3;69;2;2;1;350000000
43;6162791;3;2;2;43;2;2;1;265000000
43;6162791;3;2;2;43;2;2;1;265000000
43;6162791;3;2;2;43;2;2;1;265000000
60;3166667;3;4;2;60;3;2;0;190000000
47;2978723;3;3;3;47;3;2;0;140000000
108;3611111;3;5;1;108;2;2;0;390000000
61;4262295;3;1;3;61;3;2;1;260000000
241;1983881;3;2;3;241;5;4;1;480000000
400;3750000;3;5;1;400;;;0;1500000000
47;3404255;3;4;3;47;2;1;0;160000000
58;2896552;3;3;2;58;3;2;0;168000000
390;1665385;3;4;2;390;8;4;3;649500000
66;3712121;3;3;2;66;3;2;1;245000000
43;6162791;3;2;2;43;2;2;1;265000000
43;6162791;3;2;2;43;2;2;1;265000000
43;6162791;3;2;2;43;2;2;1;265000000
60;3166667;3;4;2;60;3;2;0;190000000
90;4277778;3;4;3;90;3;2;1;385000000
105;2666667;3;4;3;105;4;3;1;280000000
138;1739130;3;5;2;138;7;3;0;240000000
80;5437500;3;5;3;80;2;2;0;435000000
66;3409091;3;4;3;66;3;3;1;225000000
80;2000000;3;3;3;80;2;1;0;160000000
49;3367347;3;2;3;49;3;2;1;165000000
62;3548387;3;3;3;62;3;2;0;220000000
43;6046512;3;2;3;43;;1;1;260000000
75;5866667;3;2;3;75;2;2;2;440000000
55;2725455;3;2;1;55;3;2;0;149900000
28;8571429;3;2;2;28;1;1;1;240000000
83;2590361;3;5;2;83;2;1;0;215000000
63;4206349;3;2;3;63;2;2;1;265000000
47;3085106;3;2;3;47;2;1;0;145000000
399;1340852;3;4;3;399;7;4;3;535000000
69;5072464;3;4;3;69;2;2;1;350000000
91;3956044;3;4;2;91;4;2;1;360000000
47;3085106;3;2;3;47;2;1;0;145000000
399;1340852;3;4;3;399;7;4;3;535000000
53;2981132;3;4;2;53;3;1;0;158000000
97;3185567;3;4;2;97;4;3;1;309000000
84;3928571;3;2;3;84;3;2;1;330000000
160;3375000;3;5;2;160;5;2;1;540000000
39;5102564;3;2;3;39;1;2;1;199000000
58;3620690;3;5;2;58;3;2;0;210000000
60;4333333;3;5;3;60;3;2;1;260000000
64;4062500;3;4;3;64;3;2;1;260000000
200;2545000;3;4;2;200;3;4;6;509000000
63;3968254;3;2;3;63;2;2;1;250000000
114;2631579;3;5;3;114;3;2;1;300000000
49;3265306;3;3;2;49;3;1;0;160000000
75;2986667;3;4;3;75;3;2;0;224000000
154;4383117;3;4;3;154;4;4;3;675000000
154;4383117;3;4;3;154;4;4;3;675000000
399;1340852;3;4;3;399;7;4;3;535000000
